Date,Close,Open,High,Low,Volume,Change %
12-Sep-22,"22,455.00","21,500.00","22,530.00","21,500.00",8.76K,2.60%
11-Sep-22,"21,885.00","21,107.50","21,887.50","21,107.50",-,2.53%
9-Sep-22,"21,345.00","19,010.00","21,485.00","19,010.00",16.20K,10.90%
8-Sep-22,"19,247.50","19,210.00","19,385.00","18,905.00",-,1.70%
7-Sep-22,"18,925.00","18,780.00","19,365.00","18,360.00",6.75K,1.56%
6-Sep-22,"18,635.00","19,745.00","20,080.00","18,480.00",15.29K,-5.20%
5-Sep-22,"19,657.50","19,862.50","19,935.00","19,490.00",-,-1.09%
4-Sep-22,"19,875.00","20,122.50","20,122.50","19,580.00",-,0.51%
2-Sep-22,"19,775.00","19,975.00","20,390.00","19,555.00",9.77K,0.41%
1-Sep-22,"19,695.00","20,130.00","20,145.00","19,310.00",7.10K,-1.84%
31-Aug-22,"20,065.00","19,745.00","20,400.00","19,585.00",7.26K,1.49%
30-Aug-22,"19,770.00","19,985.00","20,630.00","19,345.00",7.23K,-0.98%
29-Aug-22,"19,965.00","19,890.00","20,315.00","19,345.00",7.99K,3.05%
28-Aug-22,"19,375.00","21,080.00","21,080.00","19,345.00",-,-9.54%
26-Aug-22,"21,417.90","21,425.00","21,865.00","21,035.00",0.91K,-0.68%
25-Aug-22,"21,565.00","21,610.00","21,810.00","21,290.00",7.81K,-0.67%
24-Aug-22,"21,710.00","21,480.00","21,900.00","21,125.00",9.89K,1.02%
23-Aug-22,"21,490.00","21,055.00","21,660.00","20,790.00",8.57K,2.50%
22-Aug-22,"20,965.00","21,420.00","21,595.00","20,805.00",7.31K,-2.17%
21-Aug-22,"21,430.00","21,477.50","21,585.00","21,200.00",-,0.94%
19-Aug-22,"21,230.00","23,330.00","23,370.00","21,035.00",11.30K,-9.02%
18-Aug-22,"23,335.00","23,260.00","23,590.00","23,210.00",3.98K,0.45%
17-Aug-22,"23,230.00","23,960.00","24,465.00","23,145.00",8.57K,-2.99%
16-Aug-22,"23,945.00","24,060.00","24,265.00","23,640.00",5.10K,-0.23%
15-Aug-22,"24,000.00","24,360.00","25,270.00","23,890.00",7.44K,-1.30%
14-Aug-22,"24,315.00","24,390.00","24,412.50","24,232.50",-,0.31%
12-Aug-22,"24,240.00","24,225.00","24,315.00","23,600.00",4.94K,-0.02%
11-Aug-22,"24,245.00","24,000.00","24,980.00","23,840.00",9.24K,2.49%
10-Aug-22,"23,655.00","23,200.00","24,240.00","22,630.00",9.53K,2.58%
9-Aug-22,"23,060.00","23,880.00","23,965.00","22,850.00",8.22K,-3.86%
8-Aug-22,"23,985.00","23,310.00","24,355.00","23,085.00",7.58K,3.39%
7-Aug-22,"23,197.50","23,322.50","23,350.00","23,085.00",-,1.03%
5-Aug-22,"22,960.00","22,505.00","23,555.00","22,475.00",8.82K,2.25%
4-Aug-22,"22,455.00","23,370.00","23,370.00","22,405.00",7.91K,-4.61%
3-Aug-22,"23,540.00","23,175.00","23,705.00","22,730.00",6.02K,2.35%
2-Aug-22,"23,000.00","23,050.00","23,510.00","22,685.00",5.49K,-0.13%
1-Aug-22,"23,030.00","23,655.00","23,685.00","22,895.00",5.78K,-1.60%
31-Jul-22,"23,405.00","23,922.50","24,065.00","23,315.00",-,-2.81%
29-Jul-22,"24,082.40","23,950.00","24,490.00","23,460.00",0.69K,1.17%
28-Jul-22,"23,805.00","22,785.00","24,230.00","22,620.00",11.80K,4.50%
27-Jul-22,"22,780.00","21,015.00","23,120.00","21,000.00",13.02K,8.92%
26-Jul-22,"20,915.00","22,045.00","22,045.00","20,715.00",11.71K,-4.43%
25-Jul-22,"21,885.00","22,830.00","23,035.00","21,580.00",10.40K,-3.14%
24-Jul-22,"22,595.00","22,790.00","23,035.00","22,535.00",-,-0.09%
22-Jul-22,"22,615.00","23,210.00","23,800.00","22,540.00",6.64K,-2.65%
21-Jul-22,"23,230.00","23,595.00","23,685.00","22,365.00",7.35K,-1.96%
20-Jul-22,"23,695.00","23,650.00","24,300.00","22,930.00",10.14K,1.00%
19-Jul-22,"23,460.00","21,660.00","23,725.00","21,575.00",11.77K,8.51%
18-Jul-22,"21,620.00","21,080.00","22,785.00","20,750.00",10.03K,4.14%
17-Jul-22,"20,760.00","21,067.50","21,072.50","20,745.00",-,-2.03%
15-Jul-22,"21,190.00","20,440.00","21,215.00","20,360.00",6.27K,2.74%
14-Jul-22,"20,625.00","19,890.00","20,885.00","19,585.00",10.78K,5.15%
13-Jul-22,"19,615.00","19,290.00","20,090.00","18,830.00",12.02K,1.55%
12-Jul-22,"19,315.00","20,190.00","20,190.00","19,215.00",7.72K,-5.57%
11-Jul-22,"20,455.00","21,045.00","21,045.00","20,215.00",7.66K,-1.82%
10-Jul-22,"20,835.00","20,760.00","20,837.50","20,635.00",-,-4.27%
8-Jul-22,"21,765.00","21,670.00","22,550.00","21,160.00",-,-0.41%
7-Jul-22,"21,855.00","20,360.00","21,890.00","20,245.00",8.76K,7.79%
6-Jul-22,"20,275.00","20,310.00","20,450.00","19,730.00",5.81K,-0.56%
5-Jul-22,"20,390.00","19,270.00","20,740.00","18,985.00",15.04K,0.97%
4-Jul-22,"20,195.00","19,245.00","20,312.50","18,985.00",-,4.94%
3-Jul-22,"19,245.00","19,995.00","19,995.00","19,152.50",-,-0.36%
1-Jul-22,"19,315.00","18,700.00","20,790.00","18,630.00",10.65K,2.96%
30-Jun-22,"18,760.00","20,240.00","20,295.00","18,525.00",10.28K,-7.06%
29-Jun-22,"20,185.00","20,290.00","20,405.00","19,775.00",6.70K,0.05%
28-Jun-22,"20,175.00","20,765.00","21,195.00","20,125.00",5.87K,-4.87%
27-Jun-22,"21,206.90","21,030.00","21,522.50","20,437.50",-,0.84%
26-Jun-22,"21,030.00","21,300.00","21,367.50","20,915.00",-,-0.83%
24-Jun-22,"21,206.90","20,740.00","21,535.00","20,740.00",1.45K,1.47%
23-Jun-22,"20,900.00","19,945.00","21,090.00","19,875.00",10.08K,3.95%
22-Jun-22,"20,105.00","20,920.00","20,920.00","19,760.00",13.38K,-3.62%
21-Jun-22,"20,860.00","20,390.00","21,715.00","19,600.00",18.03K,2.72%
20-Jun-22,"20,307.50","20,560.00","21,015.00","19,592.50",-,-1.23%
19-Jun-22,"20,560.00","20,600.00","20,722.50","20,387.50",-,0.44%
17-Jun-22,"20,470.00","20,645.00","21,315.00","20,145.00",8.72K,-1.54%
16-Jun-22,"20,790.00","22,165.00","22,945.00","20,435.00",9.77K,-3.86%
15-Jun-22,"21,625.00","21,460.00","22,385.00","20,025.00",19.87K,-2.26%
14-Jun-22,"22,125.00","23,010.00","23,290.00","20,775.00",16.48K,-4.26%
13-Jun-22,"23,110.00","27,355.00","27,365.00","22,490.00",18.65K,-12.80%
12-Jun-22,"26,502.50","27,235.00","27,367.50","26,487.50",-,-8.36%
10-Jun-22,"28,920.00","30,085.00","31,025.00","28,740.00",8.03K,-3.42%
9-Jun-22,"29,945.00","30,320.00","30,665.00","29,880.00",4.17K,-0.45%
8-Jun-22,"30,080.00","31,460.00","31,580.00","29,775.00",7.94K,-3.11%
7-Jun-22,"31,045.00","31,500.00","31,575.00","29,130.00",11.27K,-1.41%
6-Jun-22,"31,490.00","29,900.00","31,805.00","29,820.00",9.29K,5.46%
5-Jun-22,"29,860.00","30,002.50","30,030.00","29,820.00",-,1.10%
3-Jun-22,"29,535.00","30,355.00","30,725.00","29,165.00",6.34K,-2.49%
2-Jun-22,"30,290.00","29,535.00","30,435.00","29,480.00",6.67K,0.85%
1-Jun-22,"30,035.00","31,700.00","32,020.00","29,265.00",7.63K,-5.61%
31-May-22,"31,820.00","31,767.50","32,455.00","31,225.00",-,0.18%
30-May-22,"31,762.50","29,465.00","31,887.50","29,295.00",-,9.37%
27-May-22,"29,042.20","29,550.00","29,605.00","28,630.00",0.69K,-0.93%
26-May-22,"29,315.00","29,750.00","29,895.00","27,995.00",12.17K,-0.74%
25-May-22,"29,535.00","29,585.00","30,225.00","29,300.00",9.66K,0.78%
24-May-22,"29,305.00","29,235.00","29,580.00","28,570.00",11.24K,1.00%
23-May-22,"29,015.00","30,010.00","30,680.00","28,960.00",11.29K,-4.21%
22-May-22,"30,290.00","30,325.00","30,497.50","30,277.50",-,3.52%
20-May-22,"29,260.00","30,235.00","30,715.00","28,635.00",9.10K,-2.29%
19-May-22,"29,945.00","29,025.00","30,510.00","28,555.00",8.81K,2.60%
18-May-22,"29,185.00","30,560.00","30,650.00","28,650.00",7.23K,-2.72%
17-May-22,"30,000.00","30,130.00","30,745.00","29,420.00",7.46K,1.68%
16-May-22,"29,505.00","31,000.00","31,400.00","29,020.00",6.18K,-5.64%
15-May-22,"31,270.00","31,385.00","31,385.00","30,980.00",-,4.11%
13-May-22,"30,035.00","28,255.00","31,000.00","28,230.00",6.90K,5.07%
12-May-22,"28,585.00","28,860.00","30,100.00","25,350.00",15.14K,-2.09%
11-May-22,"29,195.00","30,195.00","32,140.00","28,105.00",19.28K,-6.67%
10-May-22,"31,280.00","30,960.00","32,615.00","29,700.00",7.24K,1.13%
9-May-22,"30,930.00","34,455.00","34,455.00","30,300.00",12.90K,-9.18%
8-May-22,"34,055.00","34,172.50","34,195.00","33,882.50",-,-5.21%
6-May-22,"35,925.00","36,405.00","36,595.00","35,180.00",5.71K,-0.95%
5-May-22,"36,270.00","39,795.00","39,860.00","35,520.00",10.00K,-9.10%
4-May-22,"39,900.00","37,725.00","40,100.00","37,535.00",8.01K,6.02%
3-May-22,"37,635.00","38,685.00","38,810.00","37,420.00",4.86K,-3.49%
2-May-22,"38,997.30","38,670.00","39,155.00","38,025.00",-,1.84%
1-May-22,"38,292.50","38,927.50","38,932.50","38,182.50",-,-1.81%
29-Apr-22,"38,997.30","39,785.00","39,840.00","38,595.00",0.86K,-2.31%
28-Apr-22,"39,920.00","39,220.00","40,440.00","38,900.00",8.55K,2.62%
27-Apr-22,"38,900.00","38,210.00","39,475.00","37,665.00",6.78K,1.78%
26-Apr-22,"38,220.00","40,210.00","40,765.00","37,665.00",10.11K,-4.95%
25-Apr-22,"40,210.00","39,595.00","40,400.00","38,190.00",7.33K,1.94%
24-Apr-22,"39,445.00","39,562.50","39,775.00","39,437.50",-,-0.03%
